47.38 54.49 74.97 105.81 74.2 74.1 28.28 53.98 58.79 239.2 67.23 49.3 37.24 91.21 39.4 29.07 96.43 1412 7672 1901 2598 14.3683 51.95 42.22 18.39 46.7 23.245 96.55 21.07 51.86
47.26 55.03 75.32 105.89 74.15 73.36 28.23 54.08 59.17 240.74 67.54 49.31 37.51 91.27 38.8 29.27 97.34 1403 7436 1909 2515 14.4718 51.41 41.445 18.39 46.405 23.05 96.101 21.06 52
46.85 54.97 75.82 103.85 74.9 74.36 28.55 54.07 59.48 246.25 67.6 49.5 37.38 88.84 38.94 29.26 97.77 1388 7489 1918 2523 14.4225 51.93 41.6 19.145 46.965 23.115 95.87 21.07 50.65
46.82 54.31 74.8 106.67 73.47 73.02 28.74 53.65 59 246.78 67.79 49.68 37.42 89.95 38.66 29.2 97.87 1357 7496 1928 2520 14.5112 52.91 41.62 19.145 46.955 23.195 94.35 21.15 49.94
46.82 54.99 76.28 107.78 73.87 73.78 28.8 53.89 59.47 245.5 67.79 50 37.63 89.98 38.94 29.66 98.83 1334 7540 1927 2505 14.5408 52.94 41.9 19.145 46.96 23.34 94.455 21.14 49.6
47.29 55.54 78.03 107.4 73.87 74.1 28.94 53.94 59.58 244.61 67.65 49.48 37.29 89.99 38.98 29.45 99.04 1353 7568 1941 2523 14.8909 52.45 41.68 19.145 47.365 23.25 95.15 21.19 50.65
47.61 56.18 78.42 108.05 74.5 74.72 28.46 54.05 59.89 246.66 67.56 49.53 37.24 89.98 38.97 29.43 99.2 1370 7617 1924 2526 15.1375 52.63 42.065 19.145 46.295 23.405 96.25 21.37 49.8
47.42 56.28 78.65 108.69 74.79 75.14 28.84 54.04 59.94 247.34 67.98 49.57 37.43 90.92 38.55 29.32 99.81 1350 7700 1899 2604 14.3978 52.66 42.215 19.145 46.75 23.61 97.49 21.37 50.5
47.42 56.28 78.65 108.69 74.79 75.14 28.84 54.04 59.94 247.34 67.98 49.57 37.43 90.92 38.55 29.32 99.81 1344 7739 1899 2604 14.5162 52.56 42.255 19.145 47.12 23.63 97 21.49 49.54
47.6 57.11 78.68 108.13 74.23 74.61 28.75 54.24 60.09 241.87 68.02 49.33 37.4 90.91 38.48 29.59 100.14 1342 7620 1933 2584 14.5507 52.53 41.955 19.145 47.205 23.23 97.949 21.41 49.78
47.64 56.96 78.55 108.68 74.22 74.4 28.85 54.51 60.44 242.34 68.73 49.87 37.48 91.1 38.45 29.52 101.04 1390 7694 1941 2611 14.5951 52.57 42.05 19.145 46.28 23.25 97.51 21.22 48.9
48.61 56.94 78.43 109.19 73.74 74.64 29.18 53.96 60.58 243.31 68.98 49.99 37.62 91.17 38.3183 29.4 100.75 1390 7765 1968 2620 14.5359 52.9 41.795 18.88 46.435 23.17 97.561 21.22 48.2
48.22 56.89 78.64 109.04 73.98 74.96 29.44 54.07 60.82 244.5 69.12 49.84 37.77 91.18 38.59 29.55 100.58 1408 7849 1977 2604 14.7775 52.63 41.935 18.88 46.595 23.265 97.992 21.18 48.94
48.05 57.22 78.79 109.13 73.76 74.29 29.06 54.46 60.89 244.44 69.08 48.95 37.92 90.84 38.71 29.06 98.88 1404 7902 1968 2586 14.6444 52.48 41.975 18.88 46.625 23.345 97.157 21.06 50.51
47.94 57.45 78.43 109.98 74.24 74.54 29.11 54.39 60.491 244.93 69.39 48.87 38.16 90.84 38.87 29.12 99.18 1406 7974 1968 2629 14.5606 52.6 42.06 18.88 46.675 23.195 97.9 21.02 50.52
48.12 58.6 79.5 109.8 74.89 76.18 29.76 55.27 60.77 244.88 68.84 48.83 38.23 91.3 38.78 29.79 100.49 1395 7880 1968 2594 14.7134 52.49 43.195 18.88 47.095 23.425 98.7 21.06 50.17
47.95 59.01 80.37 110.34 76.51 77.4 29.8 55.67 61.58 245.49 68.91 48.74 38.23 92.3 39.19 30.39 101.76 1432 7752 1985 2636 14.9994 52.39 44.665 18.88 46.995 23.66 99.09 21.12 51.2
48.11 59.28 80.55 110.05 77.8 78.5 29.98 56.2 61.79 243.76 68.12 49.07 38.07 93 39.77 30.42 102.4 1436 7789 1994 2634 15.1325 52.57 44.625 18.88 47.035 23.995 99.46 21.29 52.04
47.82 58.89 80.55 110.06 77.47 78.06 30.17 55.34 62.01 242.88 68.06 49.11 37.75 92.45 40.03 30.37 101.92 1421 7881 2000 2677 15.2065 52.09 44.855 18.88 46.155 24.22 99.61 21.29 52.67
47.67 58.91 80.09 109.33 77.4 77.42 29.86 55.11 62.09 239.25 67.61 48.81 37.6 91.42 40.61 30.36 101.75 1427 7910 1981 2680 15.0339 52.13 42.77 18.88 45.665 23.835 98.7 21.08 52.8
47.85 58.4 80.13 108.34 76.64 75.35 29.86 54.6 62.03 235.93 67.23 48.6 37.31 90.47 41.82 29.99 100.2 1418 7803 1973 2707 14.8515 52.18 42.745 18.88 45.415 23.27 98.5 21 52.3
47.94 58.5 80.27 108.15 77.27 75.18 30.31 54.68 62.6 235.24 67.21 48.58 37.45 90.47 42.69 30.35 101.16 1416 7787 1974 2659 14.7923 51.8 42.37 18.88 45.15 23.015 98.7 20.94 52.3
48.1 58.32 80.07 107.75 77.07 75.48 30.24 54.42 63.5 239.42 67.44 49.65 37.25 90.37 43.17 30.26 101.56 1391 7729 1972 2642 14.812 51.68 41.83 18.88 45.195 22.875 99 20.89 52.75
48.23 58.87 80.17 107.8 77.67 75.46 30.1 54.37 62.55 241.55 66.7 50.05 37.37 90.6 42.66 30.46 101.5 1406 7710 1969 2609 14.7726 51.8 42.225 18.815 45.615 22.85 99 20.91 52.65
48.64 59.27 80.67 108.43 76.86 74.9 29.4 54.88 63.14 243.88 66.84 50.06 37.56 91.19 42.69 30.8 102.82 1430 7820 1928 2627 14.6937 51.67 42.515 18.795 45.625 22.86 99 20.83 52.84
