timestamp,open,high,low,close,volume
2019-01-07,60.7600,62.8300,60.0200,62.1600,19151347
2018-12-31,73.8100,73.9000,58.4700,62.1300,117697120
2018-11-30,69.1300,73.6100,68.5800,72.6300,103596753
2018-10-31,74.3800,75.6600,63.6501,68.8600,167503788
2018-09-28,74.1600,74.9100,72.6900,74.0500,101052890
2018-08-31,70.7400,76.2400,70.0900,74.1600,96384872
2018-07-31,63.5400,72.2200,63.2300,70.6800,135594352
2018-06-29,65.2200,67.6900,62.7200,63.7800,101757064
2018-05-31,59.2900,65.9300,57.9735,64.6500,93014080
2018-04-30,55.4800,61.5000,53.5300,59.3900,137900527
2018-03-29,53.9500,58.4000,53.1300,55.7100,127597789
2018-02-28,56.1000,57.1000,48.4300,53.7200,142064587
2018-01-31,55.6300,60.0400,55.0200,56.7700,141114865
2017-12-29,55.2300,58.3500,51.5000,55.0100,197155335
2017-11-30,50.7300,56.1700,48.2550,55.7500,117253731
2017-10-31,52.8100,54.9900,50.3900,50.4300,129779263
2017-09-29,50.3800,54.2950,48.6900,54.2600,108755751
2017-08-31,49.2900,51.3800,47.9900,50.2000,145011755
2017-07-31,54.7500,55.4791,48.8600,49.3400,172218687
2017-06-30,54.2100,55.0600,51.7600,54.5600,150563229
2017-05-31,50.8700,54.4300,48.7702,54.1700,158013066
2017-04-28,46.6600,51.6600,46.0400,50.8400,124030423
2017-03-31,49.2000,50.3100,45.4100,46.5500,216153384
2017-02-28,46.5500,49.6000,46.1000,48.5600,189648419
2017-01-31,36.1500,49.1300,35.5900,46.3900,390443524
2016-12-30,36.0700,37.4200,35.7900,35.9300,153657075
2016-11-30,30.6400,36.0900,30.1500,35.8100,212216846
2016-10-31,30.3300,31.7300,30.0100,30.5100,182031683
2016-09-30,28.3700,30.5950,27.8900,30.5000,145033513
2016-08-31,28.3300,28.8800,27.4600,28.2800,107446568
2016-07-29,26.1100,29.4100,25.3301,28.3300,153987514
2016-06-30,26.1800,27.4100,24.4300,26.0800,149592895
2016-05-31,27.2700,27.5400,24.9300,26.4300,139253046
2016-04-29,25.6400,27.9700,24.3600,27.2700,203554143
2016-03-31,24.4500,27.2700,24.2600,25.7500,209784277
2016-02-29,22.6000,25.7100,21.6400,24.1400,214365082
2016-01-29,25.3700,25.9900,21.3250,23.0200,197837853
2015-12-31,28.4700,28.6699,24.5800,25.9500,201381252
2015-11-30,26.9900,30.5300,26.3700,28.4300,163781264
2015-10-30,27.1300,29.6700,26.4450,26.9900,173278488
2015-09-30,26.6900,29.6300,25.6900,26.9000,194370040
2015-08-31,31.3400,31.3600,25.2900,27.3800,162267486
2015-07-31,32.9300,33.1600,30.4042,31.2800,168670543
2015-06-30,34.2300,35.6700,32.4000,32.6500,181699848
2015-05-29,36.4200,37.6700,33.9950,34.0800,187700124
2015-04-30,33.2000,37.5400,31.8700,36.0900,267260666
2015-03-31,34.4400,35.3500,32.7100,33.1200,166115839
2015-02-27,33.4700,36.9500,33.2100,34.3100,118665800
2015-01-30,36.1100,36.4500,33.0100,33.3000,163256585
2014-12-31,35.9500,37.5300,34.3400,36.2300,148576896
2014-11-28,35.7400,37.9900,34.3900,36.4900,125111973
2014-10-31,31.8600,35.9500,29.7500,35.6300,252164708
2014-09-30,30.9800,32.6600,30.9100,32.0600,112612210
2014-08-29,29.8800,30.9900,29.0700,30.9100,107710000
2014-07-31,31.0000,31.5900,29.8750,29.9200,128967900
2014-06-30,29.4600,31.1300,28.9350,30.8100,136073000
2014-05-30,28.1900,29.7500,27.5799,29.4000,121418400
2014-04-30,29.0700,29.2700,27.1400,28.2200,136886800
2014-03-31,27.5200,29.4500,27.3500,28.9700,120637300
2014-02-28,26.9300,27.9700,25.8400,27.7100,116725300
2014-01-31,28.6100,29.2450,25.8850,26.9100,166170900
2013-12-31,27.2700,28.8000,27.0200,28.7700,106749600
2013-11-29,26.0900,27.5300,26.0600,27.2700,100925500
2013-10-31,25.7500,26.8500,25.0400,26.0600,153182600
2013-09-30,24.9200,26.9000,24.6800,25.7400,112643500
2013-08-30,25.0500,26.6800,24.4600,24.6100,146019400
2013-07-31,23.3300,25.7900,22.8900,24.8100,143356300
2013-06-28,25.3000,25.4400,22.4000,23.1900,171391500
2013-05-31,24.5500,26.3600,24.0300,25.2100,130459700
2013-04-30,24.6400,24.6900,23.2600,24.5900,156218000
2013-03-28,22.8600,24.6700,22.6200,24.6300,163072900
2013-02-28,22.2400,23.1000,21.4500,22.9400,152525500
2013-01-31,20.1100,22.6700,20.0100,22.0300,216482800
2012-12-31,19.8600,20.3100,19.3600,19.7300,179038500
2012-11-30,20.4900,21.0800,18.8750,19.7600,203635600
2012-10-31,20.8000,21.7600,20.4400,20.4700,195364000
2012-09-28,22.1500,23.2900,20.6500,20.7500,163657000
2012-08-31,23.1100,23.4900,22.1200,22.4600,118696500
2012-07-31,22.3100,23.2000,21.4900,22.9400,155309700
2012-06-29,20.4700,22.9100,19.8800,22.3600,171136600
2012-05-31,22.3500,23.0000,20.4100,20.8900,152939100
2012-04-30,21.3400,23.0200,20.9700,22.2900,215942800
2012-03-30,21.1300,22.5400,19.9900,21.5200,288502500
2012-02-29,22.8400,23.3100,21.0000,21.0100,230671800
2012-01-31,21.6100,23.7100,21.5500,22.5500,235700000
2011-12-30,21.6400,22.2900,19.8700,21.0600,168444100
2011-11-30,21.0400,22.6000,19.9900,21.7100,170077800
2011-10-31,18.5700,23.1400,17.8300,22.2100,215348400
2011-09-30,21.8400,22.1900,17.6900,18.6700,263299600
2011-08-31,24.8300,24.9600,19.9400,21.9400,316768100
2011-07-29,26.3600,27.0600,23.7500,24.5700,152691200
2011-06-30,79.1400,79.3500,24.0800,26.2200,138541767
2011-05-31,79.4100,79.4900,73.4300,79.3000,64518100
2011-04-29,79.2600,79.9000,72.1000,78.6900,78773500
2011-03-31,74.8100,80.4200,71.9200,78.6000,84257800
2011-02-28,71.2800,75.0000,69.0700,74.6600,56727000
2011-01-31,65.1100,71.4700,64.7500,70.6000,83370700
