timestamp,open,high,low,close,volume
2018-02-28,109.2000,109.3000,108.2800,108.3200,1046
2018-02-27,109.9000,109.9800,109.4000,109.9800,802
2018-02-26,111.1800,111.4000,110.7600,110.7800,1676
2018-02-23,111.0400,111.0400,110.4600,110.6800,701
2018-02-22,109.5400,110.4800,109.5400,110.4800,236
2018-02-21,111.4200,111.4200,110.8800,111.2600,524
2018-02-20,111.1200,112.5000,110.8400,112.5000,543
2018-02-16,110.5400,111.3200,110.3000,111.3200,1416
2018-02-15,110.2400,111.2800,110.2000,110.2000,1185
2018-02-14,108.9400,109.7400,107.2000,108.7800,2123
2018-02-13,110.0000,110.0000,108.0000,108.5000,455
2018-02-12,112.0000,112.0000,108.6000,108.8800,2602
2018-02-09,109.4800,109.5600,106.4400,106.8600,3715
2018-02-08,111.2000,111.7400,108.7200,108.9000,1755
2018-02-07,112.2400,112.5800,111.5000,112.1800,2285
2018-02-06,110.7200,112.9200,110.7000,111.7400,3606
2018-02-05,113.8800,114.3000,113.2000,113.2000,3988
2018-02-02,116.6000,116.6000,115.0000,115.1000,1255
2018-02-01,119.2000,119.6800,116.5200,116.5600,2868
2018-01-31,121.4800,122.9000,121.4800,122.2000,3042
2018-01-30,120.7600,121.5800,120.5400,121.5800,953
2018-01-29,122.2000,122.2000,121.0000,121.3600,1284
2018-01-26,121.6000,121.6000,120.5000,121.0000,555
2018-01-25,122.6000,123.4000,121.0000,122.0000,469
2018-01-24,125.3000,125.3000,123.6000,123.7000,370
2018-01-23,125.2000,125.4000,124.8000,125.3000,639
2018-01-22,124.1000,124.4000,123.9000,124.2000,566
2018-01-19,123.2000,124.3000,123.2000,123.6000,436
2018-01-18,122.4000,123.3000,122.4000,123.3000,294
2018-01-17,122.8000,123.0000,122.0000,122.0000,723
2018-01-16,122.3000,124.0000,122.3000,122.9000,3106
2018-01-12,121.4000,122.1000,121.2000,122.1000,261
2018-01-11,121.6000,121.6000,120.5000,120.5000,523
2018-01-10,121.7000,121.7000,120.4000,120.8000,1290
2018-01-09,121.7000,122.3000,121.6000,121.9000,417
2018-01-08,120.4000,121.1000,120.4000,121.1000,372
2018-01-05,119.8000,121.0000,119.5000,120.1000,740
2018-01-04,117.9000,119.6000,117.9000,119.6000,1309
2018-01-03,116.0000,117.2000,116.0000,117.2000,645
2018-01-02,115.3000,115.4000,114.4000,115.2000,988
2017-12-29,0.2350,0.2450,0.2350,0.2350,50400
2017-12-28,0.2350,0.2350,0.2350,0.2350,17200
2017-12-27,0.2350,0.2400,0.2350,0.2350,170200
2017-12-26,0.2400,0.2400,0.2400,0.2400,0
2017-12-22,0.2350,0.2400,0.2350,0.2400,204510
2017-12-21,0.2350,0.2400,0.2350,0.2350,234827
2017-12-20,0.2400,0.2450,0.2350,0.2350,339650
2017-12-19,0.2450,0.2500,0.2400,0.2450,75500
2017-12-18,0.2450,0.2550,0.2400,0.2550,145543
2017-12-15,0.2500,0.2550,0.2450,0.2500,316000
2017-12-14,0.2500,0.2600,0.2450,0.2500,146088
2017-12-13,0.2500,0.2600,0.2500,0.2550,205800
2017-12-12,0.2700,0.2700,0.2450,0.2450,393420
2017-12-11,0.2600,0.2700,0.2600,0.2600,598500
2017-12-08,0.2500,0.2600,0.2450,0.2600,784220
2017-12-07,0.2400,0.2500,0.2350,0.2450,659800
2017-12-06,0.2500,0.2500,0.2400,0.2400,274400
2017-12-05,0.2500,0.2550,0.2400,0.2500,1329180
2017-12-04,0.2400,0.2550,0.2350,0.2400,3525770
2017-12-01,0.1950,0.2150,0.1950,0.2050,709800
2017-11-30,0.1900,0.2050,0.1850,0.2000,196500
2017-11-29,0.1850,0.2100,0.1850,0.1900,830600
2017-11-28,0.1900,0.1950,0.1750,0.1850,310995
2017-11-27,0.1800,0.1950,0.1700,0.1850,206780
2017-11-24,0.1600,0.1850,0.1600,0.1800,238500
2017-11-22,0.1550,0.1550,0.1500,0.1500,29650
2017-11-21,0.1550,0.1550,0.1500,0.1500,147000
2017-11-20,0.1600,0.1600,0.1500,0.1500,287625
2017-11-17,0.1600,0.1600,0.1550,0.1600,61000
2017-11-16,0.1600,0.1600,0.1550,0.1550,48825
2017-11-15,0.1600,0.1600,0.1500,0.1550,175000
2017-11-14,0.1550,0.1550,0.1500,0.1500,91600
2017-11-13,0.1600,0.1650,0.1500,0.1600,224500
2017-11-10,0.1700,0.1700,0.1600,0.1600,225150
2017-11-09,0.1700,0.1700,0.1600,0.1700,74500
2017-11-08,0.1700,0.1700,0.1650,0.1700,32100
2017-11-07,0.1750,0.1800,0.1600,0.1600,972844
2017-11-06,0.1700,0.1700,0.1650,0.1700,59000
2017-11-03,0.1700,0.1700,0.1600,0.1600,80200
2017-11-02,0.1650,0.1700,0.1650,0.1650,36000
2017-11-01,0.1600,0.1650,0.1600,0.1600,64350
2017-10-31,0.1550,0.1550,0.1550,0.1550,27000
2017-10-30,0.1500,0.1550,0.1500,0.1500,98672
2017-10-27,0.1600,0.1600,0.1500,0.1500,215000
2017-10-26,0.1650,0.1650,0.1500,0.1500,144900
2017-10-25,0.1650,0.1700,0.1600,0.1650,148658
2017-10-24,0.1550,0.1600,0.1550,0.1600,67900
2017-10-23,0.1500,0.1550,0.1450,0.1450,656160
2017-10-20,0.1300,0.1400,0.1300,0.1350,326710
2017-10-19,0.1250,0.1300,0.1250,0.1300,144400
2017-10-18,0.1250,0.1350,0.1250,0.1300,102500
2017-10-17,0.1250,0.1350,0.1250,0.1250,20315
2017-10-16,0.1250,0.1300,0.1250,0.1300,51000
2017-10-13,0.1250,0.1250,0.1250,0.1250,71000
2017-10-12,0.1250,0.1250,0.1250,0.1250,10500
2017-10-11,0.1250,0.1250,0.1250,0.1250,32000
2017-10-10,0.1300,0.1350,0.1250,0.1350,101000
2017-10-09,0.1300,0.1300,0.1300,0.1300,0
2017-10-06,0.1300,0.1300,0.1300,0.1300,68500
2017-10-05,0.1350,0.1350,0.1250,0.1250,96000
2017-10-04,0.1400,0.1400,0.1400,0.1400,10000
2017-10-03,0.1400,0.1400,0.1400,0.1400,39500
2017-10-02,0.1400,0.1450,0.1400,0.1400,210000
2017-09-29,0.1450,0.1450,0.1400,0.1400,13000
2017-09-28,0.1500,0.1500,0.1450,0.1450,29500
2017-09-27,0.1450,0.1450,0.1400,0.1450,245000
2017-09-26,0.1500,0.1500,0.1400,0.1400,239500
2017-09-25,0.1500,0.1500,0.1400,0.1450,92000
2017-09-22,0.1400,0.1450,0.1400,0.1450,247300
2017-09-21,0.1350,0.1400,0.1350,0.1400,92000
2017-09-20,0.1300,0.1300,0.1300,0.1300,13000
2017-09-19,0.1350,0.1350,0.1300,0.1300,50000
2017-09-18,0.1400,0.1400,0.1300,0.1300,41413
2017-09-15,0.1400,0.1400,0.1400,0.1400,2900
2017-09-14,0.1400,0.1400,0.1300,0.1300,74000
2017-09-13,0.1350,0.1400,0.1300,0.1350,203140
2017-09-12,0.1150,0.1350,0.1150,0.1350,323200
2017-09-11,0.1100,0.1150,0.1100,0.1150,144000
2017-09-08,0.1050,0.1050,0.1050,0.1050,29000
2017-09-07,0.1000,0.1050,0.0950,0.1050,142600
2017-09-06,0.0950,0.0950,0.0900,0.0950,36950
2017-09-05,0.0950,0.0950,0.0950,0.0950,16967
2017-09-01,0.0900,0.0900,0.0900,0.0900,7000
2017-08-31,0.0900,0.0900,0.0900,0.0900,44950
2017-08-30,0.0900,0.0900,0.0900,0.0900,0
2017-08-29,0.0950,0.0950,0.0900,0.0900,9000
2017-08-28,0.0900,0.0900,0.0900,0.0900,118000
2017-08-25,0.0900,0.0900,0.0900,0.0900,0
2017-08-24,0.0900,0.0900,0.0900,0.0900,4000
2017-08-23,0.0900,0.0900,0.0900,0.0900,22020
2017-08-22,0.0900,0.0900,0.0900,0.0900,10000
2017-08-21,0.0900,0.0900,0.0900,0.0900,14000
2017-08-18,0.0950,0.0950,0.0950,0.0950,0
2017-08-17,0.0950,0.1000,0.0950,0.0950,58000
2017-08-16,0.0950,0.0950,0.0900,0.0900,24000
2017-08-15,0.0950,0.0950,0.0950,0.0950,14390
2017-08-14,0.0900,0.0900,0.0900,0.0900,0
2017-08-11,0.0900,0.0900,0.0900,0.0900,2000
2017-08-10,0.0900,0.0900,0.0900,0.0900,500
2017-08-09,0.1000,0.1000,0.1000,0.1000,0
2017-08-08,0.1000,0.1000,0.1000,0.1000,0
2017-08-07,0.1000,0.1000,0.1000,0.1000,0
2017-08-04,0.0950,0.1000,0.0950,0.1000,22000
2017-08-03,0.0900,0.1000,0.0900,0.1000,4000
2017-08-02,0.0900,0.0900,0.0900,0.0900,0
2017-08-01,0.0900,0.0900,0.0900,0.0900,45000
2017-07-31,0.0900,0.0900,0.0900,0.0900,2150
2017-07-28,0.0900,0.0900,0.0900,0.0900,0
2017-07-27,0.0900,0.0900,0.0900,0.0900,0
2017-07-26,0.0900,0.0900,0.0900,0.0900,22000
2017-07-25,0.0950,0.0950,0.0950,0.0950,0
2017-07-24,0.0950,0.0950,0.0950,0.0950,0
2017-07-21,0.0950,0.0950,0.0850,0.0950,268900
2017-07-20,0.0950,0.0950,0.0950,0.0950,0
2017-07-19,0.0950,0.0950,0.0950,0.0950,0
2017-07-18,0.0950,0.0950,0.0950,0.0950,0
2017-07-17,0.0950,0.0950,0.0950,0.0950,0
2017-07-14,0.0950,0.0950,0.0950,0.0950,13000
2017-07-13,0.0950,0.0950,0.0950,0.0950,0
2017-07-12,0.0950,0.0950,0.0950,0.0950,0
2017-07-11,0.0950,0.0950,0.0950,0.0950,1000
2017-07-10,0.0950,0.0950,0.0950,0.0950,8000
2017-07-07,0.0950,0.1000,0.0950,0.1000,27000
2017-07-06,0.1100,0.1100,0.0950,0.0950,65700
2017-07-05,0.1100,0.1100,0.1100,0.1100,2500
2017-07-03,0.1000,0.1000,0.1000,0.1000,0
2017-06-30,0.1050,0.1050,0.1000,0.1000,103600
2017-06-29,0.1050,0.1050,0.1050,0.1050,1650
2017-06-28,0.1050,0.1200,0.1050,0.1200,32500
2017-06-27,0.1200,0.1200,0.1050,0.1100,30500
2017-06-26,0.1100,0.1100,0.1050,0.1050,20500
2017-06-23,0.1050,0.1100,0.1050,0.1100,6000
2017-06-22,0.1100,0.1100,0.1100,0.1100,1250
2017-06-21,0.1050,0.1050,0.1050,0.1050,500
2017-06-20,0.1050,0.1150,0.1050,0.1150,105500
2017-06-19,0.1050,0.1050,0.1050,0.1050,0
2017-06-16,0.1050,0.1050,0.1050,0.1050,0
2017-06-15,0.1050,0.1050,0.1050,0.1050,25000
2017-06-14,0.1050,0.1050,0.1050,0.1050,97500
2017-06-13,0.1100,0.1200,0.1100,0.1200,538700
2017-06-12,0.1100,0.1100,0.1100,0.1100,0
2017-06-09,0.1200,0.1200,0.1100,0.1100,27500
2017-06-08,0.1100,0.1200,0.1100,0.1200,7000
2017-06-07,0.1200,0.1200,0.1200,0.1200,0
2017-06-06,0.1200,0.1200,0.1200,0.1200,24750
2017-06-05,0.1050,0.1050,0.1050,0.1050,0
2017-06-02,0.1050,0.1050,0.1050,0.1050,5154
2017-06-01,0.1100,0.1200,0.1100,0.1200,28500
2017-05-31,0.1050,0.1100,0.1000,0.1100,138900
2017-05-30,0.0950,0.0950,0.0950,0.0950,9000
2017-05-26,0.1100,0.1100,0.1050,0.1100,144500
2017-05-25,0.1000,0.1000,0.1000,0.1000,25000
2017-05-24,0.1000,0.1000,0.1000,0.1000,5100
2017-05-23,0.1000,0.1000,0.1000,0.1000,15000
2017-05-22,0.0950,0.0950,0.0950,0.0950,0
2017-05-19,0.1050,0.1050,0.0950,0.0950,35500
2017-05-18,0.1050,0.1050,0.1050,0.1050,58000
2017-05-17,0.0950,0.0950,0.0950,0.0950,700
2017-05-16,0.1000,0.1000,0.1000,0.1000,37500
2017-05-15,0.0950,0.0950,0.0950,0.0950,27000
2017-05-12,0.1050,0.1050,0.1050,0.1050,2500
2017-05-11,0.1000,0.1050,0.1000,0.1000,59259
2017-05-10,0.0950,0.0950,0.0900,0.0900,8000
2017-05-09,0.0950,0.0950,0.0950,0.0950,1450
2017-05-08,0.0900,0.0950,0.0900,0.0950,30100
2017-05-05,0.0900,0.0900,0.0900,0.0900,2500
2017-05-04,0.0950,0.0950,0.0950,0.0950,136800
2017-05-03,0.1000,0.1000,0.1000,0.1000,28400
2017-05-02,0.1000,0.1100,0.1000,0.1100,165250
2017-05-01,0.1000,0.1000,0.0950,0.1000,31400
2017-04-28,0.1000,0.1000,0.1000,0.1000,79500
2017-04-27,0.1000,0.1100,0.1000,0.1100,5000
2017-04-26,0.1000,0.1000,0.1000,0.1000,2333
2017-04-25,0.1100,0.1100,0.1100,0.1100,6000
2017-04-24,0.1150,0.1150,0.1000,0.1100,356975
2017-04-21,0.1150,0.1150,0.1150,0.1150,23100
2017-04-20,0.1200,0.1200,0.1150,0.1150,11450
2017-04-19,0.1300,0.1300,0.1300,0.1300,0
2017-04-18,0.1200,0.1300,0.1200,0.1300,13266
2017-04-17,0.1150,0.1150,0.1100,0.1100,71750
2017-04-13,0.1150,0.1150,0.1150,0.1150,20950
2017-04-12,0.1250,0.1250,0.1250,0.1250,2810
2017-04-11,0.1150,0.1150,0.1150,0.1150,26000
2017-04-10,0.1200,0.1200,0.1150,0.1150,39900
2017-04-07,0.1250,0.1300,0.1150,0.1150,33400
2017-04-06,0.1200,0.1200,0.1150,0.1150,11950
2017-04-05,0.1150,0.1200,0.1150,0.1200,11666
2017-04-04,0.1150,0.1150,0.1150,0.1150,21228
2017-04-03,0.1250,0.1250,0.1200,0.1200,18500
2017-03-31,0.1250,0.1250,0.1250,0.1250,11700
2017-03-30,0.1250,0.1250,0.1250,0.1250,0
2017-03-29,0.1250,0.1250,0.1250,0.1250,1500
2017-03-28,0.1200,0.1250,0.1200,0.1250,51000
2017-03-27,0.1250,0.1250,0.1200,0.1200,41851
2017-03-24,0.1300,0.1300,0.1300,0.1300,15663
2017-03-23,0.1250,0.1250,0.1200,0.1250,63200
2017-03-22,0.1350,0.1350,0.1300,0.1300,224500
2017-03-21,0.1450,0.1450,0.1350,0.1350,347640
2017-03-20,0.1550,0.1550,0.1550,0.1550,0
2017-03-17,0.1450,0.1550,0.1450,0.1550,12600
2017-03-16,0.1500,0.1500,0.1450,0.1450,41500
2017-03-15,123.0500,123.7900,123.0500,123.6000,516
2017-03-14,0.1500,0.1500,0.1500,0.1500,30400
2017-03-13,0.1550,0.1550,0.1550,0.1550,5100
2017-03-10,0.1400,0.1550,0.1400,0.1550,22350
2017-03-09,0.1450,0.1450,0.1450,0.1450,1500
2017-03-08,0.1500,0.1500,0.1500,0.1500,0
2017-03-07,0.1500,0.1500,0.1450,0.1500,105000
2017-03-06,0.1500,0.1550,0.1500,0.1500,21000
2017-03-03,0.1550,0.1600,0.1550,0.1550,180500
2017-03-02,0.1550,0.1600,0.1550,0.1550,135300
